date;heure;PM10;NO2
;;microg/m3;microg/m3
25/03/2011;1;n/d;162
25/03/2011;2;n/d;121
25/03/2011;3;n/d;98
25/03/2011;4;n/d;97
25/03/2011;5;n/d;97
25/03/2011;6;n/d;109
25/03/2011;7;n/d;133
25/03/2011;8;n/d;174
25/03/2011;9;n/d;198
25/03/2011;10;n/d;206
25/03/2011;11;n/d;175
25/03/2011;12;n/d;137
25/03/2011;13;n/d;127
25/03/2011;14;n/d;157
25/03/2011;15;n/d;168
25/03/2011;16;n/d;240
25/03/2011;17;n/d;184
25/03/2011;18;n/d;188
25/03/2011;19;n/d;249
25/03/2011;20;n/d;199
25/03/2011;21;n/d;189
25/03/2011;22;n/d;182
25/03/2011;23;n/d;162
25/03/2011;24;n/d;174
26/03/2011;1;n/d;166
26/03/2011;2;n/d;131
26/03/2011;3;n/d;119
26/03/2011;4;n/d;117
26/03/2011;5;n/d;112
26/03/2011;6;n/d;105
26/03/2011;7;n/d;105
26/03/2011;8;n/d;102
26/03/2011;9;n/d;122
26/03/2011;10;n/d;116
26/03/2011;11;n/d;125
26/03/2011;12;n/d;129
26/03/2011;13;n/d;125
26/03/2011;14;n/d;102
26/03/2011;15;n/d;103
26/03/2011;16;n/d;106
26/03/2011;17;n/d;152
26/03/2011;18;n/d;143
26/03/2011;19;n/d;170
26/03/2011;20;n/d;151
26/03/2011;21;n/d;123
26/03/2011;22;n/d;116
26/03/2011;23;n/d;109
26/03/2011;24;n/d;93
27/03/2011;1;n/d;97
27/03/2011;2;n/d;65
27/03/2011;3;n/d;66
27/03/2011;4;n/d;49
27/03/2011;5;n/d;51
27/03/2011;6;n/d;69
27/03/2011;7;n/d;64
27/03/2011;8;n/d;70
27/03/2011;9;n/d;75
27/03/2011;10;n/d;78
27/03/2011;11;n/d;77
27/03/2011;12;n/d;69
27/03/2011;13;n/d;65
27/03/2011;14;n/d;79
27/03/2011;15;n/d;88
27/03/2011;16;n/d;88
27/03/2011;17;n/d;83
27/03/2011;18;n/d;103
27/03/2011;19;n/d;130
27/03/2011;20;n/d;141
27/03/2011;21;n/d;134
27/03/2011;22;n/d;117
27/03/2011;23;n/d;92
27/03/2011;24;n/d;68
28/03/2011;1;n/d;48
28/03/2011;2;n/d;46
28/03/2011;3;n/d;37
28/03/2011;4;n/d;46
28/03/2011;5;n/d;82
28/03/2011;6;n/d;115
28/03/2011;7;n/d;112
28/03/2011;8;n/d;118
28/03/2011;9;n/d;113
28/03/2011;10;n/d;118
28/03/2011;11;n/d;107
28/03/2011;12;n/d;90
28/03/2011;13;n/d;106
28/03/2011;14;n/d;101
28/03/2011;15;n/d;102
28/03/2011;16;n/d;110
28/03/2011;17;n/d;127
28/03/2011;18;n/d;133
28/03/2011;19;n/d;123
28/03/2011;20;n/d;125
28/03/2011;21;n/d;111
28/03/2011;22;n/d;95
28/03/2011;23;n/d;86
28/03/2011;24;n/d;64
29/03/2011;1;n/d;56
29/03/2011;2;n/d;50
29/03/2011;3;n/d;62
29/03/2011;4;n/d;66
29/03/2011;5;n/d;108
29/03/2011;6;n/d;128
29/03/2011;7;n/d;158
29/03/2011;8;n/d;146
29/03/2011;9;n/d;n/d
29/03/2011;10;n/d;n/d
29/03/2011;11;n/d;n/d
29/03/2011;12;n/d;n/d
29/03/2011;13;n/d;86
29/03/2011;14;n/d;136
29/03/2011;15;n/d;137
29/03/2011;16;n/d;127
29/03/2011;17;n/d;132
29/03/2011;18;n/d;147
